review_id,product_category,product_name,review_text,star_rating,review_date,verified_purchase,text_for_topics,text_for_sentiment,sentiment,predicted_stars,confidence,actual_sentiment
1,Bedroom Furniture,DreamRest Memory Foam Mattress,My DreamRest Memory Foam Mattress arrived well packaged and started working immediately. No issues at all.,5,2024-02-08,False,dreamr memory foam mattress arrive package start work immediately issue,my dreamrest memory foam mattress arrived well packaged and started working immediately . no issues at all .,Positive,5,0.7864094972610474,Positive
2,Kitchen Appliances,InstaBrew Coffee Maker,The InstaBrew Coffee Maker itself is fine but the packaging was completely destroyed on arrival.,2,2023-09-11,False,instabrew coffee maker fine packaging completely destroy arrival,the instabrew coffee maker itself is fine but the packaging was completely destroyed on arrival .,Negative,2,0.42297762632369995,Negative
3,Living Room,GlowLight Floor Lamp,My GlowLight Floor Lamp arrived well packaged and started working immediately. No issues at all.,5,2023-07-03,False,glowlight floor lamp arrive package start work immediately issue,my glowlight floor lamp arrived well packaged and started working immediately . no issues at all .,Positive,5,0.7863388657569885,Positive
4,Living Room,CozySofa L-Shape Sectional,The CozySofa L-Shape Sectional is okay. Does what it says but nothing special. Average quality.,3,2023-06-30,True,cozysofa l shape sectional okay say special average quality,the cozysofa l - shape sectional is okay . does what it says but nothing special . average quality .,Neutral,3,0.8200406432151794,Neutral
5,Kitchen Appliances,TurboBlend Pro 5000,Delivery took 3 weeks and the TurboBlend Pro 5000 box was crushed. Product inside was okay though.,3,2024-09-23,True,delivery take 3 week turboblend pro 5000 box crush product inside okay,delivery took 3 weeks and the turboblend pro 5000 box was crushed . product inside was okay though .,Negative,2,0.4065166711807251,Neutral
6,Living Room,AirPurifier ProMax,SOLID QUALITY AND GREAT VALUE. THE AIRPURIFIER PROMAX FEELS PREMIUM AND PERFORMS EVEN BETTER.,5,2023-04-01,True,solid quality great value airpurifier promax feel premium perform well,solid quality and great value . the airpurifier promax feels premium and performs even better .,Positive,5,0.8652880191802979,Positive
7,Kitchen Appliances,SliceMaster Food Processor,The SliceMaster Food Processor arrived on time and works as described. Not great not terrible. !!!!!!,3,2024-05-29,True,slicemaster food processor arrive time work describe great terrible,the slicemaster food processor arrived on time and works as described . not great not terrible . ! ! ! ! ! !,Neutral,3,0.5795134902000427,Neutral
8,Bedroom Furniture,DreamRest Memory Foam Mattress,ABSOLUTELY LOVE MY DREAMREST MEMORY FOAM MATTRESS! WORKS PERFECTLY AND ARRIVED ON TIME. WOULD BUY AGAIN.,4,2023-03-31,False,absolutely love dreamr memory foam mattress work perfectly arrive time buy,absolutely love my dreamrest memory foam mattress ! works perfectly and arrived on time . would buy again .,Positive,5,0.962336540222168,Positive
9,Living Room,SmartTV 55in 4K UHD,"The SmartTV 55in 4K UHD is easy to clean, quiet during operation, and looks great. 5 stars! https://fakeurl.com/ref123",5,2023-02-28,True,smarttv 55 4k uhd easy clean quiet operation look great 5 star,"the smarttv 55 in 4k uhd is easy to clean , quiet during operation , and looks great . 5 stars !",Positive,5,0.9847724437713623,Positive
10,Bathroom,FoamPure Electric Toothbrush,<p>Trying to return my FoamPure Electric Toothbrush has been a nightmare. No response from customer service.</p>,5,2024-02-15,True,try return foampure electric toothbrush nightmare response customer service,trying to return my foampure electric toothbrush has been a nightmare . no response from customer service .,Negative,1,0.877406120300293,Positive
11,Bedroom Furniture,VelvetTouch Duvet Cover,Bought the VelvetTouch Duvet Cover as a gift and the recipient loved it. Excellent build quality.,5,2024-05-27,True,buy velvettouch duvet cover gift recipient love excellent build quality,bought the velvettouch duvet cover as a gift and the recipient loved it . excellent build quality .,Positive,5,0.8841992020606995,Positive
12,Bedroom Furniture,DreamRest Memory Foam Mattress,"The DreamRest Memory Foam Mattress is easy to clean, quiet during operation, and looks great. 5 stars!",5,2023-02-09,True,dreamr memory foam mattress easy clean quiet operation look great 5 star,"the dreamrest memory foam mattress is easy to clean , quiet during operation , and looks great . 5 stars !",Positive,5,0.9841893315315247,Positive
13,Living Room,SmartTV 55in 4K UHD,Very disappointed. The SmartTV 55in 4K UHD arrived damaged and smells like chemicals. Returning it.,2,2024-06-28,True,disappointed smarttv 55 4k uhd arrive damage smell like chemical return,very disappointed . the smarttv 55 in 4k uhd arrived damaged and smells like chemicals . returning it .,Negative,1,0.7782646417617798,Negative
14,Bedroom Furniture,NightOwl LED Bedside Lamp,Bought the NightOwl LED Bedside Lamp as a gift and the recipient loved it. Excellent build quality.,5,2024-09-08,True,buy nightowl lead bedside lamp gift recipient love excellent build quality,bought the nightowl led bedside lamp as a gift and the recipient loved it . excellent build quality .,Positive,5,0.8877393007278442,Positive
15,Bathroom,MirrorPro LED Vanity Mirror,Mixed feelings about the MirrorPro LED Vanity Mirror. Setup was easy but performance is mediocre.,3,2024-12-25,True,mixed feeling mirrorpro lead vanity mirror setup easy performance mediocre,mixed feelings about the mirrorpro led vanity mirror . setup was easy but performance is mediocre .,Negative,2,0.5007548332214355,Neutral
16,Bathroom,AquaFlow Rainfall Showerhead,Absolutely love my AquaFlow Rainfall Showerhead! Works perfectly and arrived on time. Would buy again.,5,2024-06-16,True,absolutely love aquaflow rainfall showerhead work perfectly arrive time buy,absolutely love my aquaflow rainfall showerhead ! works perfectly and arrived on time . would buy again .,Positive,5,0.9628658890724182,Positive
17,Bedroom Furniture,WoodCraft Bed Frame Queen,DO NOT BUY. The WoodCraft Bed Frame Queen stopped working completely. Customer service was useless.,1,2024-12-20,True,buy woodcraft bed frame queen stop work completely customer service useless,do not buy . the woodcraft bed frame queen stopped working completely . customer service was useless .,Negative,1,0.9376532435417175,Negative
18,Bathroom,AquaFlow Rainfall Showerhead,Bought the AquaFlow Rainfall Showerhead as a gift and the recipient loved it. Excellent build quality. https://fakeurl.com/ref123,4,2023-10-13,False,buy aquaflow rainfall showerhead gift recipient love excellent build quality,bought the aquaflow rainfall showerhead as a gift and the recipient loved it . excellent build quality .,Positive,5,0.8800055384635925,Positive
19,Bathroom,AromaSpa Diffuser,"Five stars. The AromaSpa Diffuser is well built, easy to set up, and my whole family loves it.",4,2024-05-30,True,star aromaspa diffuser build easy set family love,"five stars . the aromaspa diffuser is well built , easy to set up , and my whole family loves it .",Positive,5,0.9949935078620911,Positive
20,Kitchen Appliances,TurboBlend Pro 5000,I was skeptical at first but the TurboBlend Pro 5000 is genuinely impressive. Fast delivery too. !!!!!!,5,2024-09-03,True,skeptical turboblend pro 5000 genuinely impressive fast delivery,i was skeptical at first but the turboblend pro 5000 is genuinely impressive . fast delivery too . ! ! ! ! ! !,Positive,5,0.7565324902534485,Positive
21,Bedroom Furniture,WoodCraft Bed Frame Queen,Very disappointed. The WoodCraft Bed Frame Queen arrived damaged and smells like chemicals. Returning it. https://fakeurl.com/ref123,1,2023-08-07,True,disappointed woodcraft bed frame queen arrive damage smell like chemical return,very disappointed . the woodcraft bed frame queen arrived damaged and smells like chemicals . returning it .,Negative,1,0.7467015385627747,Negative
22,Living Room,SoundBar X200 Bluetooth,My SoundBar X200 Bluetooth arrived well packaged and started working immediately. No issues at all.,5,2023-11-11,False,soundbar x200 bluetooth arrive package start work immediately issue,my soundbar x200 bluetooth arrived well packaged and started working immediately . no issues at all .,Positive,5,0.7898597717285156,Positive
23,Bedroom Furniture,VelvetTouch Duvet Cover,My VelvetTouch Duvet Cover arrived well packaged and started working immediately. No issues at all.,5,2023-03-17,True,velvettouch duvet cover arrive package start work immediately issue,my velvettouch duvet cover arrived well packaged and started working immediately . no issues at all .,Positive,5,0.7933488488197327,Positive
